plate_id,violation_date,violation_type,county
DL8815,11/13/2025,SCHOOL_ZONE_SPEEDING,New York County
AA9403,11/11/2025,SPEED_CAMERA_VIOLATION,Queens County
SK8026,11/9/2025,SCHOOL_ZONE_SPEEDING,Richmond County
DL4723,11/2/2025,SCHOOL_ZONE_SPEEDING,Richmond County
KE3818,11/5/2025,SPEED_CAMERA_VIOLATION,Richmond County
AF9501,11/3/2025,SCHOOL_ZONE_SPEEDING,Kings County
SK7971,11/4/2025,SCHOOL_ZONE_SPEEDING,Richmond County
QF5171,11/10/2025,SPEED_CAMERA_VIOLATION,Kings County
WN7040,11/2/2025,SPEED_CAMERA_VIOLATION,Kings County
AI9507,11/2/2025,SPEED_CAMERA_VIOLATION,Kings County
AF1510,11/13/2025,SPEED_CAMERA_VIOLATION,New York County
KE9760,11/9/2025,SPEED_CAMERA_VIOLATION,Bronx County
SK4129,11/8/2025,SCHOOL_ZONE_SPEEDING,Richmond County
ET5520,11/10/2025,SCHOOL_ZONE_SPEEDING,Kings County
IB5603,11/12/2025,SCHOOL_ZONE_SPEEDING,Kings County
CX2774,11/1/2025,SCHOOL_ZONE_SPEEDING,Kings County
TG9872,11/5/2025,SPEED_CAMERA_VIOLATION,Kings County
AM9388,11/5/2025,SCHOOL_ZONE_SPEEDING,New York County
IB3853,11/1/2025,SCHOOL_ZONE_SPEEDING,New York County
AV7683,11/12/2025,SPEED_CAMERA_VIOLATION,Kings County
IB3835,11/2/2025,SCHOOL_ZONE_SPEEDING,New York County
AM2579,11/4/2025,SCHOOL_ZONE_SPEEDING,Queens County
AV3171,11/6/2025,SCHOOL_ZONE_SPEEDING,Queens County
AZ9170,11/10/2025,SCHOOL_ZONE_SPEEDING,Bronx County
KL1655,11/12/2025,SCHOOL_ZONE_SPEEDING,Kings County
KL1814,11/8/2025,SCHOOL_ZONE_SPEEDING,Queens County
SA6768,11/6/2025,SCHOOL_ZONE_SPEEDING,Richmond County
AV8092,11/7/2025,SPEED_CAMERA_VIOLATION,New York County
BA8735,11/14/2025,SCHOOL_ZONE_SPEEDING,Bronx County
AC7048,11/4/2025,SCHOOL_ZONE_SPEEDING,Bronx County
AC9505,11/9/2025,SPEED_CAMERA_VIOLATION,New York County
NZ3217,11/1/2025,SPEED_CAMERA_VIOLATION,New York County
NH8558,11/3/2025,SPEED_CAMERA_VIOLATION,Bronx County
AC9441,11/2/2025,SCHOOL_ZONE_SPEEDING,Bronx County
NZ1988,11/7/2025,SPEED_CAMERA_VIOLATION,Kings County
KL6466,11/14/2025,SCHOOL_ZONE_SPEEDING,Kings County
EK2108,11/9/2025,SPEED_CAMERA_VIOLATION,Bronx County
UA1191,11/11/2025,SPEED_CAMERA_VIOLATION,Bronx County
LA5926,11/8/2025,SCHOOL_ZONE_SPEEDING,Bronx County
AA5996,11/8/2025,SPEED_CAMERA_VIOLATION,Richmond County
SA4032,11/10/2025,SCHOOL_ZONE_SPEEDING,Kings County
AZ1933,11/5/2025,SCHOOL_ZONE_SPEEDING,Bronx County
DL4369,11/3/2025,SPEED_CAMERA_VIOLATION,Bronx County
CX8812,11/13/2025,SPEED_CAMERA_VIOLATION,Richmond County
LH3518,11/9/2025,SCHOOL_ZONE_SPEEDING,Queens County
KL7828,11/5/2025,SCHOOL_ZONE_SPEEDING,New York County
AC8903,11/8/2025,SPEED_CAMERA_VIOLATION,New York County
AV2213,11/4/2025,SCHOOL_ZONE_SPEEDING,Kings County
AI2578,11/1/2025,SCHOOL_ZONE_SPEEDING,Kings County
NH6266,11/13/2025,SPEED_CAMERA_VIOLATION,Bronx County
NH6529,11/9/2025,SCHOOL_ZONE_SPEEDING,Queens County
TG4285,11/5/2025,SCHOOL_ZONE_SPEEDING,Bronx County
NH8235,11/3/2025,SCHOOL_ZONE_SPEEDING,Bronx County
KL7739,11/1/2025,SCHOOL_ZONE_SPEEDING,Queens County
UA7959,11/12/2025,SCHOOL_ZONE_SPEEDING,Richmond County
SQ9977,11/10/2025,SCHOOL_ZONE_SPEEDING,Richmond County
AM4031,11/5/2025,SCHOOL_ZONE_SPEEDING,Queens County
LA9967,11/7/2025,SPEED_CAMERA_VIOLATION,Richmond County
ET9601,11/13/2025,SCHOOL_ZONE_SPEEDING,Kings County
